age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
55,1,1,0,0,627,1,0,2,5,5,247,0,-1,0,3,0
45,1,1,0,0,25,1,0,2,5,5,40,0,-1,0,3,0
53,0,0,1,0,315,1,0,2,5,5,181,11,-1,0,3,0
37,1,1,0,0,0,1,0,2,5,5,79,0,-1,0,3,0
44,0,0,1,0,66,1,0,2,5,5,206,0,-1,0,3,0
49,1,0,0,0,-9,1,1,2,5,5,389,0,-1,0,3,0
46,9,1,1,0,349,1,1,2,5,5,127,0,-1,0,3,0
43,2,1,3,0,100,1,0,2,5,5,702,0,-1,0,3,0
38,0,1,1,0,0,0,0,2,5,5,151,0,-1,0,3,0
43,9,1,1,0,434,1,0,2,5,5,117,0,-1,0,3,0
49,4,1,2,0,3237,1,0,2,5,5,232,22,-1,0,3,0
42,4,1,3,0,275,0,0,2,5,5,408,11,-1,0,3,0
22,1,2,1,0,0,1,0,2,5,5,179,11,-1,0,3,0
40,4,1,2,0,207,1,0,2,5,5,39,0,-1,0,3,0
39,1,1,1,0,483,1,0,2,5,5,282,0,-1,0,3,0
51,7,1,1,0,2248,1,0,2,5,5,714,11,-1,0,3,0
49,0,1,1,0,428,1,0,2,5,5,50,0,-1,0,3,0
53,1,1,1,0,0,1,1,2,5,5,181,0,-1,0,3,0
34,7,2,1,0,0,1,0,2,5,5,142,0,-1,0,3,0
33,9,0,1,0,140,1,0,2,5,5,227,0,-1,0,3,0
50,4,2,2,0,297,1,0,2,5,5,119,0,-1,0,3,0
39,1,1,0,0,279,1,0,2,5,5,361,0,-1,0,3,0
59,2,0,1,0,901,1,0,2,5,5,73,22,-1,0,3,0
30,9,2,1,0,2573,1,0,2,5,5,67,11,-1,0,3,0
36,7,1,1,0,143,1,1,2,5,5,350,0,-1,0,3,0
40,1,1,1,0,475,1,0,2,5,5,332,11,-1,0,3,0
53,1,1,1,0,70,1,0,2,5,5,611,11,-1,0,3,0
34,4,2,2,0,318,1,0,2,5,5,113,11,-1,0,3,0
37,9,1,1,0,275,1,0,2,5,5,132,0,-1,0,3,0
42,4,0,2,0,742,1,0,2,5,5,58,22,-1,0,3,0
41,2,1,0,0,236,1,0,2,5,5,151,0,-1,0,3,0
30,8,2,2,0,25,1,0,2,5,5,89,11,-1,0,3,0
37,4,2,2,0,600,1,0,2,5,5,152,0,-1,0,3,0
39,0,0,1,0,-349,1,0,2,5,5,611,11,-1,0,3,0
41,1,1,0,0,183,1,1,2,5,5,110,11,-1,0,3,0
40,1,1,0,0,0,1,0,2,5,5,463,0,-1,0,3,0
42,4,2,2,0,0,1,1,2,5,5,562,11,-1,0,3,1
40,1,0,0,0,0,1,0,2,5,5,962,0,-1,0,3,0
57,9,1,1,0,1078,1,0,2,5,5,10,33,-1,0,3,0
56,2,0,1,0,155,0,0,2,5,5,118,22,-1,0,3,0
37,0,1,1,0,190,1,0,2,5,5,92,11,-1,0,3,0
59,5,1,1,0,319,1,0,2,5,5,143,22,-1,0,3,0
39,7,0,1,0,-185,1,0,2,5,5,189,22,-1,0,3,0
49,7,1,1,0,47,0,0,2,5,5,234,11,-1,0,3,0
38,7,2,1,0,570,1,0,2,5,5,75,11,-1,0,3,0
36,6,1,2,0,19,0,0,2,5,5,189,11,-1,0,3,0
50,1,1,0,0,61,1,0,2,5,5,621,22,-1,0,3,0
41,0,1,1,0,-62,1,1,2,5,5,55,11,-1,0,3,0
54,9,1,2,0,258,0,0,2,5,5,310,33,-1,0,3,0
58,1,1,0,0,76,1,0,2,5,5,156,11,-1,0,3,0
30,1,2,1,0,0,1,0,2,5,5,5,11,-1,0,3,0
33,0,2,1,0,352,1,0,2,5,5,225,11,-1,0,3,0
47,0,1,1,0,368,1,0,2,5,5,125,11,-1,0,3,0
50,9,2,2,0,339,1,0,2,5,5,2,22,-1,0,3,0
32,1,1,1,0,1331,1,0,2,5,5,286,11,-1,0,3,0
40,6,1,1,0,672,1,0,2,5,5,164,11,-1,0,3,0
37,4,1,2,0,58,1,0,2,5,5,98,11,-1,0,3,0
54,9,2,3,0,447,1,0,2,5,5,742,11,-1,0,3,0
24,8,2,1,0,423,1,0,2,5,5,226,22,-1,0,3,0
54,4,1,2,0,0,0,0,2,5,5,120,11,-1,0,3,0
34,9,1,1,0,19,1,0,2,5,5,362,33,-1,0,3,0
56,9,0,0,0,13,1,0,2,5,5,357,11,-1,0,3,0
31,1,2,1,0,3,1,0,2,5,5,200,11,-1,0,3,0
24,8,2,1,0,82,1,0,2,5,5,204,11,-1,0,3,0
42,1,0,0,0,28,1,0,2,5,5,126,22,-1,0,3,0
57,9,1,1,0,792,1,0,2,5,5,65,11,-1,0,3,0
42,1,1,3,0,408,1,0,2,5,5,107,11,-1,0,3,0
51,0,1,1,0,531,1,0,2,5,5,267,11,-1,0,3,0
57,5,1,1,0,211,1,0,2,5,5,248,11,-1,0,3,0
36,7,2,1,0,62,1,0,2,5,5,215,11,-1,0,3,0
53,7,1,3,0,257,1,0,2,5,5,209,11,-1,0,3,0
50,9,1,1,0,1234,1,0,2,5,5,205,11,-1,0,3,0
54,4,1,2,0,313,1,0,2,5,5,83,11,-1,0,3,0
55,1,1,1,0,89,1,0,2,5,5,106,22,-1,0,3,0
44,1,1,1,0,129,1,1,2,5,5,189,11,-1,0,3,0
43,4,1,3,0,0,1,0,2,5,5,105,11,-1,0,3,0
56,0,1,1,0,353,1,0,2,5,5,106,11,-1,0,3,0
54,9,1,3,0,851,1,0,2,5,5,108,11,-1,0,3,0
55,7,0,0,0,96,1,1,2,5,5,311,11,-1,0,3,0
37,7,0,1,0,398,1,1,2,5,5,214,11,-1,0,3,0
33,0,2,2,0,193,0,0,2,5,5,132,11,-1,0,3,0
46,0,1,1,0,-358,1,0,2,5,5,358,11,-1,0,3,0
36,1,1,1,0,539,1,1,2,5,5,453,11,-1,0,3,0
51,9,2,1,0,0,1,0,2,5,5,364,11,-1,0,3,0
40,5,2,0,0,0,0,0,2,5,5,136,11,-1,0,3,0
42,1,1,1,0,490,1,0,2,5,5,386,11,-1,0,3,0
51,1,1,1,0,0,1,0,2,5,5,173,11,-1,0,3,0
49,1,1,3,0,403,1,0,2,5,5,241,11,-1,0,3,0
48,4,1,1,0,161,1,0,2,5,5,224,22,-1,0,3,0
32,9,0,2,0,2558,0,0,2,5,5,148,11,-1,0,3,0
31,0,2,1,0,98,1,0,2,5,5,196,11,-1,0,3,0
55,4,2,2,0,115,0,0,2,5,5,111,33,-1,0,3,0
40,1,2,1,0,436,1,0,2,5,5,231,22,-1,0,3,0
47,9,1,2,0,831,1,0,2,5,5,316,22,-1,0,3,0
57,9,1,3,0,206,1,0,2,5,5,216,22,-1,0,3,0
41,1,1,1,0,290,1,0,2,5,5,240,11,-1,0,3,0
48,1,1,1,0,1,0,0,2,5,5,669,22,-1,0,3,0
42,1,1,3,0,57,1,0,2,5,5,425,11,-1,0,3,0
30,1,2,1,0,-457,1,0,2,5,5,143,11,-1,0,3,0
58,4,2,2,0,1387,1,0,2,5,5,174,38,-1,0,3,0
45,4,0,2,0,24598,1,0,2,5,5,313,22,-1,0,3,0
49,1,1,1,0,30,1,0,2,5,5,135,33,-1,0,3,0
42,0,2,1,0,1022,1,0,2,5,5,146,11,-1,0,3,0
53,9,1,1,0,56,1,1,2,5,5,152,11,-1,0,3,0
51,0,2,1,1,-2,0,0,2,5,5,402,22,-1,0,3,0
32,7,2,1,0,121,1,0,2,5,5,213,11,-1,0,3,0
41,1,2,1,0,842,1,0,2,5,5,144,22,-1,0,3,0
43,4,0,1,0,693,1,0,2,5,5,124,22,-1,0,3,0
40,1,0,1,0,-333,1,0,2,5,5,183,11,-1,0,3,0
50,1,1,0,0,1533,1,0,2,5,5,325,11,-1,0,3,0
34,4,1,2,0,46,1,0,2,5,5,39,33,-1,0,3,0
53,7,1,3,0,18,0,0,2,5,5,503,11,-1,0,3,0
45,9,1,1,0,44,1,0,2,5,5,95,33,-1,0,3,0
39,1,1,0,0,-100,1,0,2,5,5,680,11,-1,0,3,0
44,7,1,2,0,510,1,0,2,5,5,421,33,-1,0,3,0
55,4,1,2,0,685,1,0,2,5,5,174,22,-1,0,3,0
46,4,2,2,0,187,1,0,2,5,5,113,11,-1,0,3,0
45,1,1,1,0,66,1,0,2,5,5,808,11,-1,0,3,0
34,0,1,1,0,560,1,0,2,5,5,198,22,-1,0,3,0
36,1,1,1,0,0,1,0,2,5,5,195,11,-1,0,3,0
59,11,0,3,0,27,0,0,2,5,5,347,22,-1,0,3,0
31,0,2,1,0,12,1,0,2,5,5,208,11,-1,0,3,0
44,1,2,1,0,34,1,0,2,5,5,404,33,-1,0,3,0
33,2,2,2,0,1068,1,0,2,5,5,396,11,-1,0,3,0
40,1,1,1,0,211,1,0,2,5,5,216,33,-1,0,3,0
46,0,2,2,0,377,1,0,2,5,5,98,11,-1,0,3,0
48,4,1,2,0,263,1,0,2,5,5,350,11,-1,0,3,0
42,7,1,1,0,1263,1,0,2,6,5,114,11,-1,0,3,0
27,7,1,1,0,8,1,0,2,6,5,88,22,-1,0,3,0
48,0,1,1,0,126,1,1,2,6,5,379,11,-1,0,3,0
59,0,1,1,0,230,1,0,2,6,5,190,22,-1,0,3,0
46,9,1,2,0,841,1,0,2,6,5,158,0,-1,0,3,0
38,0,0,1,0,308,1,0,2,6,5,102,0,-1,0,3,0
43,4,0,2,0,1,1,0,2,6,5,306,0,-1,0,3,0
38,0,0,2,0,86,1,0,2,6,5,218,0,-1,0,3,0
23,8,2,1,0,157,1,0,2,6,5,54,0,-1,0,3,0
34,7,1,1,0,22,1,0,2,6,5,344,0,-1,0,3,0
38,0,1,1,0,46,1,1,2,6,5,195,0,-1,0,3,0
37,1,1,1,0,1293,0,0,2,6,5,652,0,-1,0,3,0
25,0,2,1,0,122,1,0,2,6,5,286,0,-1,0,3,0
48,1,1,3,0,131,1,0,2,6,5,189,0,-1,0,3,0
49,1,2,1,0,143,1,0,2,6,5,83,0,-1,0,3,0
38,0,2,1,0,393,0,0,2,6,5,184,11,-1,0,3,0
43,1,1,0,0,98,1,0,2,6,5,235,0,-1,0,3,0
33,4,1,2,0,0,1,0,2,6,5,290,0,-1,0,3,0
55,1,1,1,0,224,1,0,2,6,5,232,0,-1,0,3,0
38,1,1,1,0,757,1,0,2,6,5,133,0,-1,0,3,0
49,7,1,1,0,245,1,1,2,6,5,318,0,-1,0,3,0
40,4,1,1,0,8486,0,0,2,6,5,260,22,-1,0,3,0
43,0,1,3,0,350,0,0,2,6,5,437,0,-1,0,3,0
38,1,1,1,0,20,1,0,2,6,5,402,0,-1,0,3,0
58,7,1,1,0,1667,1,1,2,6,5,85,0,-1,0,3,0
57,9,1,3,0,345,1,0,2,6,5,125,0,-1,0,3,0
32,10,1,1,0,10,1,0,2,6,5,501,33,-1,0,3,0
56,4,1,2,0,830,1,1,2,6,5,1201,0,-1,0,3,1
58,1,0,3,0,29,1,0,2,6,5,253,0,-1,0,3,0
60,5,0,1,0,545,1,0,2,6,5,1030,0,-1,0,3,1
37,9,1,2,0,8730,1,0,2,6,5,149,0,-1,0,3,0
46,9,0,2,0,477,1,0,2,6,5,114,0,-1,0,3,0
27,0,1,1,0,4,1,0,2,6,5,243,0,-1,0,3,0
